[tt0111271]  [$3,337,685 ]  
[tt0108944]  []  
[tt0109127]  [$50,236,831]  
[tt0110357]  [$94,240,635]  
[tt0111701]  [$8,878,839 ]  
[tt0109520]  [$45,607,617]  
[tt0109287]  [$30,577,969]  
[tt0110157]  [$21,006,361]  
[tt0108333]  [$53,898,845]  
[tt0107688]  [$143,289 ]  
[tt0106611]  [$68,856,263]  
[tt0107120]  [$39,514,713]  
[tt0291140]  []  
[tt0106223]  [$24,103,594]  
[tt0106868]  [$12,890,752]  
[tt0108377]  []  
[tt0107131]  [$41,833,324]  
[tt0229249]  []  
[tt0104940]  [$27,281,507]  
[tt0103639]  [$217,042,820]  
[tt0104868]  [$50,727,056]  
[tt0105129]  []  
